[H[2J[3J----------------  -------  -----------  ------------  -------------  --------------
Fitness type      Mu Size  Lambda Size  Mutation STD  Mutation Rate  Crossover Rate
himmelblau_task3  100      100          1             0.01           0.6
----------------  -------  -----------  ------------  -------------  --------------
########################################################################################
Generation 	 Candidate Evals 	 Best Fit 	 Average Fit 	 % same 	
128 		 25700 			 2.7361 	 95.4750 	 49.0000 %
129 		 25900 			 0.2094 	 104.2919 	 51.0000 %
130 		 26100 			 1.3886 	 85.6864 	 52.0000 %
131 		 26300 			 0.8081 	 81.1527 	 31.0000 %
132 		 26500 			 6.9900 	 88.4909 	 46.0000 %
133 		 26700 			 7.7539 	 87.5903 	 33.0000 %
134 		 26900 			 4.2806 	 82.7785 	 35.0000 %
135 		 27100 			 13.1816 	 101.1121 	 37.0000 %
136 		 27300 			 0.9260 	 91.5891 	 42.0000 %
137 		 27500 			 8.1232 	 97.4438 	 34.0000 %
138 		 27700 			 2.8192 	 94.4283 	 31.0000 %
139 		 27900 			 8.5858 	 94.6408 	 39.0000 %
140 		 28100 			 5.8723 	 92.5242 	 39.0000 %
141 		 28300 			 4.2484 	 94.1852 	 34.0000 %
142 		 28500 			 4.2797 	 96.9542 	 32.0000 %
143 		 28700 			 4.5078 	 108.8209 	 32.0000 %
144 		 28900 			 4.2484 	 86.9037 	 47.0000 %
145 		 29100 			 3.1127 	 79.9857 	 41.0000 %
146 		 29300 			 4.9232 	 88.6433 	 50.0000 %
147 		 29500 			 6.2539 	 88.2709 	 33.0000 %
148 		 29700 			 6.9250 	 99.3007 	 40.0000 %
149 		 29900 			 1.7831 	 109.1424 	 42.0000 %
150 		 30100 			 2.3857 	 109.9839 	 31.0000 %
151 		 30300 			 2.0676 	 103.3348 	 40.0000 %
152 		 30500 			 2.0965 	 117.2512 	 28.0000 %
153 		 30700 			 3.7172 	 113.3804 	 41.0000 %
154 		 30900 			 6.1018 	 103.8199 	 41.0000 %
155 		 31100 			 9.2662 	 91.4113 	 37.0000 %
156 		 31300 			 1.3034 	 92.9478 	 44.0000 %
157 		 31500 			 3.1099 	 89.2079 	 29.0000 %
158 		 31700 			 3.1099 	 84.4965 	 26.0000 %
159 		 31900 			 7.5707 	 94.6216 	 32.0000 %
160 		 32100 			 0.0444 	 101.0033 	 32.0000 %
161 		 32300 			 19.0326 	 123.3928 	 39.0000 %
162 		 32500 			 7.8961 	 124.9623 	 38.0000 %
163 		 32700 			 7.8961 	 131.5920 	 27.0000 %
164 		 32900 			 4.1892 	 116.6967 	 38.0000 %
165 		 33100 			 3.6453 	 123.7564 	 43.0000 %
166 		 33300 			 3.6453 	 123.7058 	 44.0000 %
167 		 33500 			 4.8893 	 116.4589 	 40.0000 %
168 		 33700 			 4.8893 	 111.5358 	 43.0000 %
169 		 33900 			 13.9921 	 111.1665 	 35.0000 %
170 		 34100 			 23.2852 	 117.1364 	 46.0000 %
171 		 34300 			 8.4569 	 108.0753 	 48.0000 %
172 		 34500 			 12.3609 	 101.2187 	 47.0000 %
173 		 34700 			 8.4569 	 100.9157 	 42.0000 %
174 		 34900 			 6.8083 	 108.5947 	 45.0000 %
175 		 35100 			 2.7307 	 108.9573 	 32.0000 %
176 		 35300 			 6.4000 	 106.3650 	 41.0000 %
177 		 35500 			 2.4112 	 92.8874 	 45.0000 %
178 		 35700 			 2.4112 	 106.0138 	 44.0000 %
179 		 35900 			 0.9712 	 108.7559 	 57.0000 %
180 		 36100 			 5.0672 	 97.6860 	 48.0000 %
181 		 36300 			 3.2000 	 84.9664 	 41.0000 %
182 		 36500 			 3.2000 	 85.0024 	 30.0000 %
183 		 36700 			 2.1810 	 81.0436 	 34.0000 %
184 		 36900 			 3.3981 	 86.5502 	 54.0000 %
185 		 37100 			 5.8346 	 68.2570 	 51.0000 %
186 		 37300 			 4.3945 	 53.1970 	 36.0000 %
187 		 37500 			 5.7023 	 46.5271 	 47.0000 %
188 		 37700 			 5.7023 	 47.0804 	 51.0000 %
189 		 37900 			 2.8318 	 39.3612 	 59.0000 %
190 		 38100 			 2.6071 	 41.9376 	 50.0000 %
191 		 38300 			 4.4165 	 51.3870 	 46.0000 %
192 		 38500 			 2.0114 	 64.4572 	 44.0000 %
193 		 38700 			 2.0676 	 61.3586 	 46.0000 %
194 		 38900 			 1.0307 	 60.4828 	 48.0000 %
195 		 39100 			 2.0676 	 49.7243 	 44.0000 %
196 		 39300 			 2.8072 	 54.3717 	 34.0000 %
197 		 39500 			 0.2646 	 59.1246 	 50.0000 %
198 		 39700 			 0.2646 	 58.8326 	 41.0000 %
199 		 39900 			 6.3516 	 62.6047 	 39.0000 %
200 		 40100 			 6.0274 	 54.3488 	 42.0000 %
201 		 40300 			 2.6295 	 58.4180 	 41.0000 %
202 		 40500 			 4.8459 	 54.9810 	 40.0000 %
203 		 40700 			 2.0556 	 65.7722 	 54.0000 %
204 		 40900 			 6.2115 	 64.2942 	 55.0000 %
205 		 41100 			 4.6216 	 61.8711 	 50.0000 %
